iter,train_loss,val_loss,elapsed_sec
0,4.356888771057129,4.353373050689697,9.4
100,2.049232006072998,2.0575201511383057,89.2
200,1.7968963384628296,1.8178768157958984,209.8
300,1.2060354948043823,1.2140144109725952,337.8
400,0.9385372400283813,0.9611750841140747,476.2
500,0.8356646299362183,0.8501313328742981,632.2
600,0.6968438029289246,0.7024916410446167,131.5
700,0.550323486328125,0.5508350133895874,249.4
800,0.4940651059150696,0.49672943353652954,368.1
900,0.4595404267311096,0.46196937561035156,487.1
1000,0.4377674162387848,0.44000983238220215,606.8
1100,0.42339736223220825,0.4233560562133789,126.6
1200,0.40804845094680786,0.4051388204097748,245.1
1300,0.39496827125549316,0.39380523562431335,365.9
1400,0.3820250630378723,0.382908433675766,485.4
1500,0.375221312046051,0.37514087557792664,603.9
1600,0.36945468187332153,0.3699292540550232,120.0
1700,0.3613872230052948,0.35892438888549805,238.5
1800,0.35712090134620667,0.35920292139053345,376.3
1900,0.3556787073612213,0.3581026792526245,518.0
2000,0.35391825437545776,0.355823814868927,658.8
2100,0.351722776889801,0.3531838655471802,141.7
2200,0.35057204961776733,0.3486940264701843,282.4
2300,0.34756869077682495,0.3505055010318756,1327.2
2400,0.34823936223983765,0.3525093197822571,1943.9
2500,0.3473205268383026,0.3499576151371002,2033.5
2600,0.34526005387306213,0.3474409580230713,115.2
2700,0.3453144431114197,0.34453636407852173,236.7
2800,0.3437882661819458,0.34802669286727905,363.9
2900,0.34460535645484924,0.35117191076278687,495.6
3000,0.3447417616844177,0.34882158041000366,642.0
