step,lr,train_loss,val_loss,elapsed_sec
0,0.0001,10.3695,10.2395,7.9
100,9.99112e-05,0.7541,0.7328,169.6
0,0.0001,10.3695,10.2395,7.9
100,9.99112e-05,0.7541,0.7328,147.5
200,9.96452e-05,0.4744,0.4619,321.9
300,9.92029e-05,0.3765,0.3814,98.8
400,9.85862e-05,0.3098,0.3053,281.7
500,9.77975e-05,0.2537,0.2599,469.0
600,9.68399e-05,0.2166,0.2225,183.6
700,9.57172e-05,0.1949,0.204,380.1
800,9.44338e-05,0.1601,0.1798,94.5
900,9.29948e-05,0.1192,0.1316,296.6
1000,9.14058e-05,0.0747,0.0956,499.8
1100,8.96731e-05,0.0563,0.0813,193.1
1200,8.78036e-05,0.05,0.0697,398.5
1300,8.58046e-05,0.0415,0.0619,97.4
1400,8.36841e-05,0.0409,0.0502,308.2
1500,8.14503e-05,0.0345,0.0505,517.3
1600,7.91122e-05,0.0286,0.0559,200.2
1700,7.66789e-05,0.0268,0.0488,417.6
1800,7.41601e-05,0.0262,0.0431,91.3
1900,7.15656e-05,0.0243,0.0364,302.6
2000,6.89058e-05,0.0226,0.0362,512.9
2100,6.6191e-05,0.017,0.0449,196.1
2200,6.34322e-05,0.0179,0.039,415.2
2300,6.064e-05,0.0187,0.0356,89.5
2400,5.78256e-05,0.0171,0.033,303.6
2500,5.5e-05,0.0143,0.0313,515.9
2600,5.21744e-05,0.0131,0.0354,188.1
2700,4.936e-05,0.0128,0.0332,401.7
2800,4.65678e-05,0.0155,0.029,85.5
2900,4.3809e-05,0.0127,0.0271,301.1
3000,4.10942e-05,0.0108,0.0319,516.0
3100,3.84344e-05,0.0109,0.0294,194.4
3200,3.58399e-05,0.0091,0.0264,408.3
3300,3.33211e-05,0.0124,0.0261,81.3
3400,3.08878e-05,0.0091,0.0253,296.5
3500,2.85497e-05,0.0091,0.0267,509.9
3600,2.63159e-05,0.0093,0.0255,181.2
3700,2.41954e-05,0.0072,0.0277,394.6
3800,2.21964e-05,0.0107,0.0261,77.4
3900,2.03269e-05,0.0082,0.025,292.4
4000,1.85942e-05,0.0067,0.025,506.2
4100,1.70052e-05,0.0072,0.0246,176.8
4200,1.55662e-05,0.0067,0.0279,390.8
4300,1.42828e-05,0.0104,0.0229,73.5
4400,1.31601e-05,0.0075,0.0239,293.2
4500,1.22025e-05,0.0054,0.0237,517.8
4600,1.14138e-05,0.006,0.0224,180.5
4700,1.07971e-05,0.006,0.0244,400.8
4800,1.03548e-05,0.01,0.024,69.8
4900,1.00888e-05,0.0063,0.0281,286.3
5000,1e-05,0.0051,0.0232,501.0
