step,lr,train_loss,val_loss,elapsed_sec
0,0.0001,10.0691,10.1023,7.9
100,9.99112e-05,0.7673,0.7621,144.7
200,9.96452e-05,0.4752,0.4798,304.7
300,9.92029e-05,0.3811,0.3853,82.9
400,9.85862e-05,0.3113,0.313,255.1
500,9.77975e-05,0.2532,0.2656,430.6
600,9.68399e-05,0.2236,0.2326,179.1
700,9.57172e-05,0.1991,0.2063,383.9
800,9.44338e-05,0.1713,0.1874,96.1
900,9.29948e-05,0.1322,0.1427,293.0
1000,9.14058e-05,0.0903,0.1049,466.2
1100,8.96731e-05,0.0642,0.0869,166.9
1200,8.78036e-05,0.0527,0.0645,338.1
1300,8.58046e-05,0.0429,0.0613,77.6
1400,8.36841e-05,0.0484,0.058,247.3
1500,8.14503e-05,0.0417,0.0517,449.2
1600,7.91122e-05,0.0352,0.052,176.3
1700,7.66789e-05,0.032,0.0408,380.4
1800,7.41601e-05,0.0285,0.0424,86.6
1900,7.15656e-05,0.0316,0.0408,287.1
2000,6.89058e-05,0.0271,0.0376,499.5
2100,6.6191e-05,0.0236,0.0427,183.8
2200,6.34322e-05,0.0207,0.0346,386.8
2300,6.064e-05,0.0198,0.0383,87.7
2400,5.78256e-05,0.0206,0.0374,286.6
2500,5.5e-05,0.0164,0.0309,468.1
2600,5.21744e-05,0.0169,0.0389,157.3
2700,4.936e-05,0.0141,0.0313,332.0
2800,4.65678e-05,0.0153,0.0337,69.3
2900,4.3809e-05,0.0149,0.0298,243.0
2800,4.65678e-05,0.0153,0.0337,59.1
2900,4.3809e-05,0.0149,0.0298,210.4
3000,4.10942e-05,0.0126,0.0252,393.4
3100,3.84344e-05,0.0149,0.034,179.9
3200,3.58399e-05,0.0129,0.0346,379.2
3300,3.33211e-05,0.0136,0.0282,75.9
3400,3.08878e-05,0.0115,0.0288,279.0
3500,2.85497e-05,0.0107,0.0205,466.1
3600,2.63159e-05,0.0111,0.0308,156.3
3700,2.41954e-05,0.0093,0.0316,338.8
3800,2.21964e-05,0.012,0.0294,67.2
3900,2.03269e-05,0.0097,0.0301,253.0
4000,1.85942e-05,0.0084,0.0217,437.5
4100,1.70052e-05,0.0092,0.03,154.0
4200,1.55662e-05,0.008,0.0313,341.3
4300,1.42828e-05,0.0103,0.0236,64.5
4400,1.31601e-05,0.0077,0.0319,285.7
4500,1.22025e-05,0.0072,0.0206,517.0
4600,1.14138e-05,0.0087,0.0288,182.3
4700,1.07971e-05,0.0078,0.029,413.1
4800,1.03548e-05,0.0101,0.0216,88.0
4900,1.00888e-05,0.0075,0.0295,328.7
5000,1e-05,0.0073,0.0212,546.2
