iter,train_loss,val_loss,elapsed_sec
0,4.228291034698486,4.226268291473389,5.8
100,2.6546080112457275,2.6468520164489746,51.1
200,2.5098800659179688,2.509727954864502,96.1
300,2.4627439975738525,2.464646577835083,25.1
400,2.4145472049713135,2.4159929752349854,69.8
500,2.360163688659668,2.3809561729431152,114.1
600,2.2978596687316895,2.3270351886749268,44.2
700,2.23915958404541,2.2636685371398926,88.3
800,2.182743549346924,2.2040083408355713,24.5
900,2.1225883960723877,2.1655519008636475,69.6
1000,2.0671467781066895,2.119711399078369,114.7
