step,lr,train_loss,val_loss,elapsed_sec
0,0.0003,8.3642,8.3619,8.3
250,0.000299993,3.9438,3.9652,385.9
500,0.000299766,3.3154,3.3332,156.2
750,0.000299214,2.8743,2.9242,552.6
1000,0.000298338,2.6151,2.6605,319.3
1250,0.000297141,2.4112,2.4735,80.4
1500,0.000295626,2.263,2.3242,492.6
1750,0.000293796,2.149,2.2645,262.9
2000,0.000291656,2.0586,2.1896,686.9
2250,0.000289211,2.0002,2.1433,405.3
2500,0.000286466,1.9274,2.1103,157.8
2750,0.000283429,1.8506,2.0508,573.3
3000,0.000280106,1.832,2.0317,319.5
3250,0.000276507,1.7991,2.0461,76.3
3500,0.000272638,1.764,1.9677,500.5
3750,0.000268511,1.7007,2.003,240.3
4000,0.000264134,1.6649,1.9474,648.8
4250,0.000259518,1.6726,1.9795,403.1
4500,0.000254674,1.6192,2.0468,146.9
4750,0.000249614,1.5547,1.9468,557.2
5000,0.000244351,1.5694,2.0053,309.7
5250,0.000238896,1.6081,2.013,66.0
5500,0.000233264,1.5343,1.9318,493.5
5750,0.000227467,1.5278,1.9959,225.2
6000,0.000221519,1.46,1.9011,638.3
6250,0.000215435,1.4979,1.9535,390.2
6500,0.00020923,1.4335,2.0961,141.7
6750,0.000202918,1.3996,1.9296,554.7
7000,0.000196515,1.4053,1.9875,300.7
7250,0.000190036,1.4376,2.039,57.3
7500,0.000183497,1.3732,1.9009,471.2
7750,0.000176913,1.37,2.0562,217.4
8000,0.0001703,1.2994,1.8991,630.2
8250,0.000163675,1.3449,1.9751,377.0
8500,0.000157052,1.3563,2.1853,133.7
8750,0.000150449,1.2682,1.935,545.9
9000,0.000143881,1.2545,2.0394,299.0
9250,0.000137364,1.3378,2.1281,49.3
9500,0.000130914,1.2503,1.9281,469.2
9750,0.000124545,1.2372,2.1087,207.8
10000,0.000118274,1.1953,1.9379,618.1
10250,0.000112116,1.201,2.0022,367.2
10500,0.000106085,1.2393,2.2036,124.5
10750,0.000100196,1.198,1.9525,543.9
11000,9.44627e-05,1.1464,2.064,283.0
11250,8.88997e-05,1.2584,2.158,42.7
11500,8.35199e-05,1.1581,1.9492,470.5
11750,7.83365e-05,1.1164,2.1637,211.1
12000,7.33619e-05,1.1119,1.9474,648.1
12250,6.8608e-05,1.1117,2.0343,391.5
12500,6.40864e-05,1.1182,2.184,139.0
12750,5.98078e-05,1.1255,1.9561,582.4
13000,5.57827e-05,1.0761,2.1444,297.7
13250,5.20207e-05,1.1651,2.1267,37.0
13500,4.85309e-05,1.075,1.9777,482.9
13750,4.53216e-05,1.0366,2.1558,210.4
14000,4.24007e-05,1.0653,1.972,660.1
14250,3.97751e-05,1.0533,2.0481,395.0
14500,3.74512e-05,1.0821,2.1878,160.9
14750,3.54346e-05,1.0367,1.9829,629.7
15000,3.37301e-05,1.0157,2.1789,286.0
15250,3.23418e-05,1.1299,2.0969,28.4
15500,3.12731e-05,1.0059,2.0295,451.8
15750,3.05266e-05,1.0439,2.1613,189.4
16000,3.01041e-05,1.042,1.9938,610.4
