step,lr,train_loss,val_loss,elapsed_sec
0,0.0001,6.0098,5.8404,6.5
100,9.99112e-05,0.5306,0.5347,239.9
200,9.96452e-05,0.3575,0.3715,497.6
300,9.92029e-05,0.2717,0.2726,130.0
400,9.85862e-05,0.213,0.2257,393.9
500,9.77975e-05,0.1964,0.1904,657.2
600,9.68399e-05,0.1566,0.1591,256.0
700,9.57172e-05,0.0907,0.1059,524.2
800,9.44338e-05,0.0569,0.0789,124.7
900,9.29948e-05,0.0442,0.0588,388.7
1000,9.14058e-05,0.0495,0.058,652.7
1100,8.96731e-05,0.0381,0.04,249.9
1200,8.78036e-05,0.034,0.0397,513.2
1300,8.58046e-05,0.0293,0.0416,120.1
1400,8.36841e-05,0.0332,0.0328,388.5
1500,8.14503e-05,0.021,0.0316,658.0
1600,7.91122e-05,0.0222,0.0268,251.7
1700,7.66789e-05,0.0239,0.0257,523.7
1800,7.41601e-05,0.0129,0.0217,122.8
1900,7.15656e-05,0.0164,0.023,397.0
2000,6.89058e-05,0.0189,0.017,671.2
2100,6.6191e-05,0.0147,0.0142,249.9
2200,6.34322e-05,0.0156,0.0205,525.2
2300,6.064e-05,0.016,0.021,113.6
2400,5.78256e-05,0.0104,0.0222,390.9
2500,5.5e-05,0.0104,0.0189,667.1
2600,5.21744e-05,0.0099,0.0169,246.5
2700,4.936e-05,0.0096,0.0228,522.7
2800,4.65678e-05,0.0087,0.0154,115.1
2900,4.3809e-05,0.0092,0.0187,397.7
3000,4.10942e-05,0.0075,0.019,694.3
3100,3.84344e-05,0.0091,0.0166,265.1
3200,3.58399e-05,0.0084,0.0158,574.6
3300,3.33211e-05,0.0099,0.0158,116.5
3400,3.08878e-05,0.0082,0.0145,429.8
3500,2.85497e-05,0.0106,0.0166,753.2
3600,2.63159e-05,0.0091,0.0114,354.1
3700,2.41954e-05,0.0079,0.0128,753.8
3800,2.21964e-05,0.0076,0.0119,122.5
3900,2.03269e-05,0.0057,0.0139,464.8
4000,1.85942e-05,0.0059,0.0137,802.7
4100,1.70052e-05,0.0071,0.0095,282.0
4200,1.55662e-05,0.0068,0.0123,618.6
4300,1.42828e-05,0.008,0.0166,122.7
4400,1.31601e-05,0.0055,0.0156,532.2
4500,1.22025e-05,0.0069,0.0113,900.1
4600,1.14138e-05,0.0063,0.0123,278.4
4700,1.07971e-05,0.0063,0.0144,658.3
4800,1.03548e-05,0.0057,0.0135,112.1
4900,1.00888e-05,0.0066,0.0131,486.7
5000,1e-05,0.0045,0.0142,853.0
