step,lr,train_loss,val_loss,elapsed_sec
0,0.0003,7.7978,7.7978,8.0
100,0.00029926,2.3273,2.3373,174.6
200,0.00029705,1.6462,1.6753,345.9
300,0.000293393,1.2579,1.2604,69.2
400,0.000288329,0.8171,0.814,252.2
500,0.000281913,0.5757,0.5672,435.0
600,0.000274217,0.4754,0.4726,157.7
700,0.000265325,0.3775,0.3862,349.4
800,0.000255333,0.2668,0.2724,66.1
900,0.000244351,0.1818,0.1868,244.8
1000,0.0002325,0.1422,0.1522,444.5
1100,0.000219909,0.1131,0.125,143.6
1100,0.000219909,0.1131,0.125,179.4
1200,0.000206717,0.0862,0.1078,365.3
1300,0.000193068,0.0639,0.0869,71.2
1400,0.000179111,0.0687,0.0836,261.3
1500,0.000165,0.0592,0.083,445.7
1600,0.000150889,0.0511,0.0797,165.0
1700,0.000136932,0.0447,0.0684,349.5
1800,0.000123283,0.036,0.0555,69.2
1900,0.000110091,0.0391,0.0636,259.0
2000,9.75e-05,0.0332,0.0576,438.5
2100,8.5649e-05,0.0317,0.0629,163.0
2200,7.46674e-05,0.0301,0.048,346.2
2300,6.46754e-05,0.0229,0.0421,66.0
2400,5.57827e-05,0.0291,0.053,248.5
2500,4.80866e-05,0.0218,0.0459,428.3
2600,4.16714e-05,0.0224,0.0547,159.2
2700,3.66074e-05,0.0246,0.0413,338.3
2800,3.29501e-05,0.0195,0.0389,61.0
2900,3.07395e-05,0.022,0.0466,241.4
3000,3e-05,0.0158,0.0426,424.1
